title,author,pg_code,author_id,book_id
Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",47,12236,1
The 1992 CIA World Factbook,United States. Central Intelligence Agency,48,17623,2
Surfing the Internet: An Introduction: Version 2.0.2,"Polly, Jean Armour",49,13909,0
Anne of the Island,"Montgomery, L. M. (Lucy Maud)",51,12236,2
The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",54,1178,0
The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",55,1178,1
NREN for All: Insurmountable Opportunity,"Polly, Jean Armour",56,13909,1
Paradise Regained,"Milton, John",58,12100,2
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René",59,4742,0
The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",60,13139,0
The Communist Manifesto,"Marx, Karl",61,11419,0
A Princess of Mars,"Burroughs, Edgar Rice",62,2643,0
The Gods of Mars,"Burroughs, Edgar Rice",64,2643,1
The warlord of Mars,"Burroughs, Edgar Rice",68,2643,2
What Is Man? and Other Essays,"Twain, Mark",70,17537,0
On the Duty of Civil Disobedience,"Thoreau, Henry David",71,17204,0
"Thuvia, Maid of Mars","Burroughs, Edgar Rice",72,2643,3
The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",73,4061,0
"The Adventures of Tom Sawyer, Complete","Twain, Mark",74,17537,1
Adventures of Huckleberry Finn,"Twain, Mark",76,17537,2
The House of the Seven Gables,"Hawthorne, Nathaniel",77,7901,1
Tarzan of the Apes,"Burroughs, Edgar Rice",78,2643,4
The Return of Tarzan,"Burroughs, Edgar Rice",81,2643,5
Ivanhoe: A Romance,"Scott, Walter",82,15483,0
"From the Earth to the Moon; and, Round the Moon","Verne, Jules",83,17834,0
"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",84,15727,0
The Beasts of Tarzan,"Burroughs, Edgar Rice",85,2643,6
A Connecticut Yankee in King Arthur's Court,"Twain, Mark",86,17537,3
The 1993 CIA World Factbook,United States. Central Intelligence Agency,87,17623,3
Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael",88,7768,0
The Son of Tarzan,"Burroughs, Edgar Rice",90,2643,7
Tom Sawyer Abroad,"Twain, Mark",91,17537,4
Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",92,2643,8
"Tom Sawyer, Detective","Twain, Mark",93,17537,5
Alexander's Bridge,"Cather, Willa",94,3063,2
The prisoner of Zenda,"Hope, Anthony",95,8519,0
The Monster Men,"Burroughs, Edgar Rice",96,2643,9
Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",97,17,0
A Tale of Two Cities,"Dickens, Charles",98,4793,1
Collected Articles of Frederick Douglass,"Douglass, Frederick",99,5005,1
The Complete Works of William Shakespeare,"Shakespeare, William",100,15642,0
The Tragedy of Pudd'nhead Wilson,"Twain, Mark",102,17537,6
Around the World in Eighty Days,"Verne, Jules",103,17834,1
"Inaugural Address of Franklin Delano Roosevelt: Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",104,14892,0
Persuasion,"Austen, Jane",105,694,0
Jungle Tales of Tarzan,"Burroughs, Edgar Rice",106,2643,10
Far from the Madding Crowd,"Hardy, Thomas",107,7651,1
The Return of Sherlock Holmes,"Doyle, Arthur Conan",108,5036,0
"Renascence, and Other Poems","Millay, Edna St. Vincent",109,12012,0
Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",110,7651,2
Freckles,"Stratton-Porter, Gene",111,16707,0
The Secret Garden,"Burnett, Frances Hodgson",113,2614,0
United States Census Figures Back to 1630,United States. Bureau of the Census,115,17622,2
Symphony No. 5 in C minor Opus 67,"Beethoven, Ludwig van",117,1314,0
A Tramp Abroad,"Twain, Mark",119,17537,7
Treasure Island,"Stevenson, Robert Louis",120,16557,2
Northanger Abbey,"Austen, Jane",121,694,1
The Return of the Native,"Hardy, Thomas",122,7651,3
At the Earth's Core,"Burroughs, Edgar Rice",123,2643,11
A Girl of the Limberlost,"Stratton-Porter, Gene",125,16707,1
The Poison Belt,"Doyle, Arthur Conan",126,5036,1
The Arabian Nights Entertainments,"Lang, Andrew",128,10099,0
Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",130,3258,0
"The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",131,2560,0
The Art of War,"Sunzi, active 6th century B.C.",132,16817,0
The Damnation of Theron Ware,"Frederic, Harold",133,6293,0
"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",134,18990,0
Les Misérables,"Hugo, Victor",135,8746,0
A Child's Garden of Verses,"Stevenson, Robert Louis",136,16557,3
"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",137,2614,1
The Lost World,"Doyle, Arthur Conan",139,5036,2
The Jungle,"Sinclair, Upton",140,15904,0
Mansfield Park,"Austen, Jane",141,694,2
"The $30,000 Bequest, and Other Stories","Twain, Mark",142,17537,8
The Mayor of Casterbridge,"Hardy, Thomas",143,7651,4
The Voyage Out,"Woolf, Virginia",144,19074,0
Middlemarch,"Eliot, George",145,5415,0
A Little Princess: Being the whole story of Sara Crewe now told for the first time,"Burnett, Frances Hodgson",146,2614,2
Common Sense,"Paine, Thomas",147,13258,0
The Autobiography of Benjamin Franklin,"Franklin, Benjamin",148,6264,0
The Lost Continent,"Burroughs, Edgar Rice",149,2643,12
The Republic,Plato,150,13833,0
The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",151,3608,0
Jude the Obscure,"Hardy, Thomas",153,7651,5
The Rise of Silas Lapham,"Howells, William Dean",154,8670,0
The Moonstone,"Collins, Wilkie",155,3647,0
"Symphony No. 5 in C minor, Opus 67","Beethoven, Ludwig van",156,1314,1
Daddy-Long-Legs,"Webster, Jean",157,18321,0
Emma,"Austen, Jane",158,694,3
The island of Doctor Moreau,"Wells, H. G. (Herbert George)",159,18387,2
"The Awakening, and Selected Short Stories","Chopin, Kate",160,3296,0
Sense and Sensibility,"Austen, Jane",161,694,4
Flower Fables,"Alcott, Louisa May",163,213,0
Twenty Thousand Leagues under the Sea,"Verne, Jules",164,17834,2
McTeague: A Story of San Francisco,"Norris, Frank",165,12905,0
Summer,"Wharton, Edith",166,18481,0
American Hand Book of the Daguerreotype,"Humphrey, S. D. (Samuel Dwight)",167,8781,0
The Well at the World's End: A Tale,"Morris, William",169,12384,0
The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie",170,3647,1
The Haunted Bookshop,"Morley, Christopher",172,12355,0
The Insidious Dr. Fu Manchu,"Rohmer, Sax",173,14866,0
The Picture of Dorian Gray,"Wilde, Oscar",174,18672,0
The Phantom of the Opera,"Leroux, Gaston",175,10425,0
Roderick Hudson,"James, Henry",176,9104,0
The American,"James, Henry",177,9104,1
Confidence,"James, Henry",178,9104,2
The Europeans,"James, Henry",179,9104,3
The 1994 CIA World Factbook,United States. Central Intelligence Agency,180,17623,4
"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg,200,14112,0
Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",201,17,1
My Bondage and My Freedom,"Douglass, Frederick",202,5005,2
Uncle Tom's Cabin,"Stowe, Harriet Beecher",203,16687,0
The innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",204,3258,1
"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",205,17204,1
The Spell of the Yukon and Other Verses,"Service, Robert W. (Robert William)",207,15596,0
Daisy Miller: A Study,"James, Henry",208,9104,4
The Turn of the Screw,"James, Henry",209,9104,5
An International Episode,"James, Henry",210,9104,6
The Aspern Papers,"James, Henry",211,9104,7
The Man from Snowy River,"Paterson, A. B. (Andrew Barton)",213,13395,0
"In the Days When the World Was Wide, and Other Verses","Lawson, Henry",214,10211,0
The call of the wild,"London, Jack",215,10685,0
Sons and Lovers,"Lawrence, D. H. (David Herbert)",217,10201,0
Heart of Darkness,"Conrad, Joseph",219,3750,0
The Secret Sharer,"Conrad, Joseph",220,3750,1
The Return of Sherlock Holmes,"Doyle, Arthur Conan",221,5036,3
The Moon and Sixpence,"Maugham, W. Somerset (William Somerset)",222,11532,0
The wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",223,3258,2
A pair of blue eyes,"Hardy, Thomas",224,7651,6
At the Back of the North Wind,"MacDonald, George",225,10950,0
The Aeneid,Virgil,228,17889,0
The Bucolics and Eclogues,Virgil,230,17889,1
The Georgics,Virgil,232,17889,2
Sister Carrie: A Novel,"Dreiser, Theodore",233,5066,0
Child Christopher and Goldilind the Fair,"Morris, William",234,12384,1
The Jungle Book,"Kipling, Rudyard",236,9775,0
Dear Enemy,"Webster, Jean",238,18321,1
"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter","Brown, William Wells",241,2392,0
My Ántonia,"Cather, Willa",242,3063,3
"The forged coupon, and other stories","Tolstoy, Leo, graf",243,17309,0
A Study in Scarlet,"Doyle, Arthur Conan",244,5036,4
Life on the Mississippi,"Twain, Mark",245,17537,9
The Rubaiyat of Omar Khayyam,Omar Khayyam,246,13120,0
Webster's Unabridged Dictionary (1st 100 Pages),"Webster, Noah",247,18326,0
Webster's Unabridged Dictionary (2nd 100 Pages),"Webster, Noah",248,18326,1
A Brief History of the Internet: The Bright Side: The Dark Side,"Hart, Michael",250,7768,1
1995 United States Congressional Address Book,United States,251,17603,2
Copyright Law of the United States of America: Contained in Title 17 of the United States Code,Library of Congress. Copyright Office,252,10520,0
Troilus and Criseyde,"Chaucer, Geoffrey",257,3231,0
Ballads of a Cheechako,"Service, Robert W. (Robert William)",259,15596,1
An Introduction to the Study of Robert Browning's Poetry,"Browning, Robert",260,2421,0
A Dome of Many-Coloured Glass,"Lowell, Amy",261,10788,0
The Collected Poems of Rupert Brooke,"Brooke, Rupert",262,2293,0
"Trees, and Other Poems","Kilmer, Joyce",263,9711,0
"Main Street, and Other Poems","Kilmer, Joyce",264,9711,1
"Confessio Amantis; Or, Tales of the Seven Deadly Sins","Gower, John",266,7002,0
The Touchstone,"Wharton, Edith",267,18481,1
The Octopus : A Story of California,"Norris, Frank",268,12905,1
Beasts and Super-Beasts,Saki,269,15176,0
Dream Days,"Grahame, Kenneth",270,7032,0
Black Beauty,"Sewell, Anna",271,15620,0
An Open Letter on Translating,"Luther, Martin",272,10851,0
The Smalcald Articles,"Luther, Martin",273,10851,1
Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,"Luther, Martin",274,10851,2
"The Augsburg Confession: The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530","Melanchthon, Philipp",275,11862,0
Franz Haydn's 104th Symphony [1794-5]: MIDI file,"Haydn, Joseph",276,7915,0
Records of a Family of Engineers,"Stevenson, Robert Louis",280,16557,4
Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,"Stevenson, Robert Louis",281,16557,5
"Eothen; Or, Traces of Travel Brought Home from the East","Kinglake, Alexander William",282,9754,0
The Reef,"Wharton, Edith",283,18481,2
The House of Mirth,"Wharton, Edith",284,18481,3
The Lost Continent,"Hyne, Charles John Cutcliffe Wright",285,8910,0
Laddie: A True Blue Story,"Stratton-Porter, Gene",286,16707,2
Remember the Alamo,"Barr, Amelia E.",287,1042,0
The Certain Hour (Dizain des Poëtes),"Cabell, James Branch",288,2750,0
The Wind in the Willows,"Grahame, Kenneth",289,7032,1
"The Stark Munro Letters: Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884","Doyle, Arthur Conan",290,5036,5
The Golden Age,"Grahame, Kenneth",291,7032,2
"Beauty and the Beast, and Tales of Home","Taylor, Bayard",292,16980,0
Paul Prescott's Charge,"Alger, Horatio, Jr.",293,258,0
"The Captain of the Polestar, and Other Tales","Doyle, Arthur Conan",294,5036,6
The Early Short Fiction of Edith Wharton — Part 1,"Wharton, Edith",295,18481,4
The Cash Boy,"Alger, Horatio, Jr.",296,258,1
The Flirt,"Tarkington, Booth",297,16967,0
The Market-Place,"Frederic, Harold",298,6293,1
Tales from Two Hemispheres,"Boyesen, Hjalmar Hjorth",299,2047,0
United States Declaration of Independence,"Jefferson, Thomas",300,9169,1
The Ballad of Reading Gaol,"Wilde, Oscar",301,18672,1
"Rio Grande's Last Race, and Other Verses","Paterson, A. B. (Andrew Barton)",304,13395,1
The Count's Millions,"Gaboriau, Emile",305,6441,0
The Early Short Fiction of Edith Wharton — Part 2,"Wharton, Edith",306,18481,5
"Three Elephant Power, and Other Stories","Paterson, A. B. (Andrew Barton)",307,13395,2
Three Men in a Boat (To Say Nothing of the Dog),"Jerome, Jerome K. (Jerome Klapka)",308,9213,0
Rhymes of a Rolling Stone,"Service, Robert W. (Robert William)",309,15596,2
Before Adam,"London, Jack",310,10685,1
Bunner Sisters,"Wharton, Edith",311,18481,6
Young Adventure: A Book of Poems,"Benét, Stephen Vincent",312,1464,0
Children of the Night,"Robinson, Edwin Arlington",313,14775,0
"Guide to Life and Literature of the Southwest, with a Few Observations","Dobie, J. Frank (James Frank)",314,4886,0
Rhymes of a Red Cross Man,"Service, Robert W. (Robert William)",315,15596,3
The Golden Road,"Montgomery, L. M. (Lucy Maud)",316,12236,3
John Barleycorn,"London, Jack",318,10685,2
The Ways of Men,"Gregory, Eliot",319,7174,0
Moran of the Lady Letty,"Norris, Frank",321,12905,2
St. Ives: Being the Adventures of a French Prisoner in England,"Stevenson, Robert Louis",322,16557,6
Verses 1889-1896,"Kipling, Rudyard",323,9775,1
A Knight of the Cumberland,"Fox, John, Jr.",324,6225,0
Phantastes: A Faerie Romance for Men and Women,"MacDonald, George",325,10950,1
Steep Trails,"Muir, John",326,12490,0
The Princess Aline,"Davis, Richard Harding",327,4541,0
A Heap o' Livin',"Guest, Edgar A. (Edgar Albert)",328,7312,0
Island Nights' Entertainments,"Stevenson, Robert Louis",329,16557,7
Where There's a Will,"Rinehart, Mary Roberts",330,14671,0
The Mucker,"Burroughs, Edgar Rice",331,2643,13
The Burial of the Guns,"Page, Thomas Nelson",332,13248,0
Robert Louis Stevenson,"Raleigh, Walter Alexander, Sir",333,14283,0
Episodes in Van Bibber's Life,"Davis, Richard Harding",334,4541,1
Frances Waldeaux: A Novel,"Davis, Rebecca Harding",335,4540,0
Indian Heroes and Great Chieftains,"Eastman, Charles A.",336,5274,0
Indian Boyhood,"Eastman, Charles A.",337,5274,1
Old Indian Legends,Zitkala-Sa,338,19320,0
Old Indian Days,"Eastman, Charles A.",339,5274,2
The Soul of the Indian: An Interpretation,"Eastman, Charles A.",340,5274,3
Margaret Ogilvy,"Barrie, J. M. (James Matthew)",342,1061,1
Fables,"Stevenson, Robert Louis",343,16557,8
"The Merry Men, and Other Tales and Fables","Stevenson, Robert Louis",344,16557,9
Dracula,"Stoker, Bram",345,16642,0
"The Troll Garden, and Selected Stories","Cather, Willa",346,3063,4
"Hesiod, the Homeric Hymns, and Homerica",Hesiod,348,8156,0
The Harvester,"Stratton-Porter, Gene",349,16707,3
Fanny Herself,"Ferber, Edna",350,5784,0
Of Human Bondage,"Maugham, W. Somerset (William Somerset)",351,11532,1
Buttered Side Down: Stories,"Ferber, Edna",352,5784,1
The Parasite: A Story,"Doyle, Arthur Conan",355,5036,7
Beyond the City,"Doyle, Arthur Conan",356,5036,8
"A Dream of John Ball; and, A King's Lesson","Morris, William",357,12384,2
The Scarlet Car,"Davis, Richard Harding",358,4541,2
Good Stories for Great Holidays: Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading,"Olcott, Frances Jenkins",359,13080,0
What is Property? An Inquiry into the Principle of Right and of Government,"Proudhon, P.-J. (Pierre-Joseph)",360,14115,0
Miss Billy — Married,"Porter, Eleanor H. (Eleanor Hodgman)",361,13944,0
Miss Billy's Decision,"Porter, Eleanor H. (Eleanor Hodgman)",362,13944,1
The Oakdale Affair,"Burroughs, Edgar Rice",363,2643,14
The Mad King,"Burroughs, Edgar Rice",364,2643,15
The Land of Little Rain,"Austin, Mary",365,705,0
Bab: A Sub-Deb,"Rinehart, Mary Roberts",366,14671,1
The Country of the Pointed Firs,"Jewett, Sarah Orne",367,9237,0
Acres of Diamonds: Our Every-day Opportunities,"Conwell, Russell H.",368,3764,0
The outlaw of Torn,"Burroughs, Edgar Rice",369,2643,16
The Fortunes and Misfortunes of the Famous Moll Flanders,"Defoe, Daniel",370,4669,0
"Literary Blunders: A Chapter in the ""History of Human Error""","Wheatley, Henry B. (Henry Benjamin)",371,18489,0
"Prince Otto, a Romance","Stevenson, Robert Louis",372,16557,10
"Lay Morals, and Other Papers","Stevenson, Robert Louis",373,16557,11
Fantastic Fables,"Bierce, Ambrose",374,1596,0
An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",375,1596,1
"A Journal of the Plague Year: Being Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London","Defoe, Daniel",376,4669,1
Worldly Ways & Byways,"Gregory, Eliot",379,7174,1
Weir of Hermiston: An Unfinished Romance,"Stevenson, Robert Louis",380,16557,12
Memories and Portraits,"Stevenson, Robert Louis",381,16557,13
Edinburgh: Picturesque Notes,"Stevenson, Robert Louis",382,16557,14
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy","Goldsmith, Oliver",383,6889,0
The Lost Prince,"Burnett, Frances Hodgson",384,2614,3
"The Redheaded Outfield, and Other Baseball Stories","Grey, Zane",385,7203,0
"Virginibus Puerisque, and Other Papers","Stevenson, Robert Louis",386,16557,15
"Vailima Letters: Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894","Stevenson, Robert Louis",387,16557,16
The Crossing,"Churchill, Winston",388,3331,0
The Great God Pan,"Machen, Arthur",389,11044,0
The Blue Lagoon: A Romance,"Stacpoole, H. De Vere (Henry De Vere)",393,16375,0
Cranford,"Gaskell, Elizabeth Cleghorn",394,6568,0
"The Holy War, Made by King Shaddai Upon Diabolus, for the Regaining of the Metropolis of the World; Or, The Losing and Taking Again of the Town of Mansoul","Bunyan, John",395,2560,1
"The Lady, or the Tiger?","Stockton, Frank R.",396,16630,0
"L'Allegro, Il Penseroso, Comus, and Lycidas","Milton, John",397,12100,3
Cast Upon the Breakers,"Alger, Horatio, Jr.",399,258,2
"Helen of Troy, and Other Poems","Teasdale, Sara",400,17033,0
Blix,"Norris, Frank",401,12905,3
Penrod,"Tarkington, Booth",402,16967,1
Soldiers of Fortune,"Davis, Richard Harding",403,4541,3
Industrial Biography: Iron Workers and Tool Makers,"Smiles, Samuel",404,15994,0
Adventures and Letters of Richard Harding Davis,"Davis, Richard Harding",405,4541,4
The Reporter Who Made Himself King,"Davis, Richard Harding",407,4541,5
The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",408,5097,0
Hell Fer Sartain and Other Stories,"Fox, John, Jr.",410,6225,1
The King's Jackal,"Davis, Richard Harding",411,4541,6
John Jacob Astor,"Hubbard, Elbert",412,8691,0
Ballads,"Stevenson, Robert Louis",413,16557,17
The Pageant of Summer,"Jefferies, Richard",414,9165,0
"The Bible in Spain: Or, the Journeys, Adventures, and Imprisonments of an Englishman, in an Attempt to Circulate the Scriptures in the Peninsula","Borrow, George",415,1933,0
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life","Anderson, Sherwood",416,444,0
A Treatise on Good Works,"Luther, Martin",418,10851,3
The Magic of Oz,"Baum, L. Frank (Lyman Frank)",419,1178,2
Dorothy and the Wizard in Oz,"Baum, L. Frank (Lyman Frank)",420,1178,3
Kidnapped,"Stevenson, Robert Louis",421,16557,18
The Romany Rye,"Borrow, George",422,1933,1
Round the Red Lamp: Being Facts and Fancies of Medical Life,"Doyle, Arthur Conan",423,5036,9
"General William Booth Enters into Heaven, and Other Poems","Lindsay, Vachel",424,10566,0
Familiar Studies of Men and Books,"Stevenson, Robert Louis",425,16557,19
Tales and Fantasies,"Stevenson, Robert Louis",426,16557,20
The Great War Syndicate,"Stockton, Frank R.",427,16630,1
Frivolous Cupid,"Hope, Anthony",428,8519,1
"The Magic Egg, and Other Stories","Stockton, Frank R.",429,16630,2
The Grain of Dust: A Novel,"Phillips, David Graham",430,13702,0
The Fortune Hunter,"Phillips, David Graham",431,13702,1
The Ambassadors,"James, Henry",432,9104,8
The Conflict,"Phillips, David Graham",433,13702,2
The Circular Staircase,"Rinehart, Mary Roberts",434,14671,2
"Miracle Mongers and Their Methods: A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc.","Houdini, Harry",435,8590,0
The Master Key: An Electrical Fairy Tale Founded Upon the Mysteries of Electricity,"Baum, L. Frank (Lyman Frank)",436,1178,4
Underwoods,"Stevenson, Robert Louis",438,16557,21
The Vital Message,"Doyle, Arthur Conan",439,5036,10
Just David,"Porter, Eleanor H. (Eleanor Hodgman)",440,13944,2
"New Poems, and Variant Readings","Stevenson, Robert Louis",441,16557,22
Love Songs,"Teasdale, Sara",442,17033,1
The Love Affairs of a Bibliomaniac,"Field, Eugene",443,5844,0
"System of Economical Contradictions; Or, The Philosophy of Misery","Proudhon, P.-J. (Pierre-Joseph)",444,14115,1
The crowd : $b A study of the popular mind,"Le Bon, Gustave",445,10231,0
Maggie: A Girl of the Streets,"Crane, Stephen",447,4061,1
The Psychology of Revolution,"Le Bon, Gustave",448,10231,1
Susan Lenox: Her Fall and Rise,"Phillips, David Graham",450,13702,3
The Shadow Line: A Confession,"Conrad, Joseph",451,3750,2
"Lavengro: The Scholar, the Gypsy, the Priest","Borrow, George",452,1933,2
Emma McChesney and Co.,"Ferber, Edna",453,5784,2
The Breitmann Ballads,"Leland, Charles Godfrey",454,10393,0
"The Door in the Wall, and Other Stories","Wells, H. G. (Herbert George)",456,18387,3
The Price She Paid,"Phillips, David Graham",457,13702,4
Dreams and Dust,"Marquis, Don",458,11320,0
The White People,"Burnett, Frances Hodgson",459,2614,4
The Dawn of a To-morrow,"Burnett, Frances Hodgson",460,2614,5
The Quest of the Golden Girl: A Romance,"Le Gallienne, Richard",461,10237,0
The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",463,4061,2
"In the South Seas: Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)","Stevenson, Robert Louis",464,16557,23
The Mountains,"White, Stewart Edward",465,18564,0
The Gaming Table: Its Votaries and Victims. Volume 1 (of 2),"Steinmetz, Andrew",466,16480,0
The Princess of Cleves,"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)",467,9989,0
The Duchesse of Langeais,"Balzac, Honoré de",469,919,0
Heretics,"Chesterton, G. K. (Gilbert Keith)",470,3258,3
The Bride of Lammermoor,"Scott, Walter",471,15483,1
The House Behind the Cedars,"Chesnutt, Charles W. (Charles Waddell)",472,3253,0
Stories to Tell to Children,"Bryant, Sara Cone",473,2467,0
"How to Tell Stories to Children, and Some Stories to Tell","Bryant, Sara Cone",474,2467,1
"James Nasmyth, Engineer: An Autobiography","Nasmyth, James",476,12656,0
Criminal Sociology,"Ferri, Enrico",477,5812,0
The Cost,"Phillips, David Graham",478,13702,5
Little Lord Fauntleroy,"Burnett, Frances Hodgson",479,2614,6
In the Bishop's Carriage,"Michelson, Miriam",481,11978,0
The Woodlanders,"Hardy, Thomas",482,7651,7
The Conquest of Canaan,"Tarkington, Booth",483,16967,2
"Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks","Optic, Oliver",484,13133,0
The Road to Oz,"Baum, L. Frank (Lyman Frank)",485,1178,5
"Ozma of Oz: A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein","Baum, L. Frank (Lyman Frank)",486,1178,6
"Songs of Travel, and Other Verses","Stevenson, Robert Louis",487,16557,24
One Basket,"Ferber, Edna",489,5784,3
Rezanov,"Atherton, Gertrude Franklin Horn",491,652,0
Essays in the Art of Writing,"Stevenson, Robert Louis",492,16557,25
Falk: A Reminiscence,"Conrad, Joseph",493,3750,3
To-morrow,"Conrad, Joseph",494,3750,4
Amy Foster,"Conrad, Joseph",495,3750,5
The Little Lame Prince,"Craik, Dinah Maria Mulock",496,4036,0
Rebecca of Sunnybrook Farm,"Wiggin, Kate Douglas Smith",498,18652,0
"Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold","Appleton, Victor",499,508,0
The Adventures of Pinocchio,"Collodi, Carlo",500,3653,0
The Story of Doctor Dolittle,"Lofting, Hugh",501,10671,0
Desert Gold,"Grey, Zane",502,7203,1
The Blue Fairy Book,"Lang, Andrew",503,10099,1
The Fifth String,"Sousa, John Philip",504,16227,0
History of the Warfare of Science with Theology in Christendom,"White, Andrew Dickson",505,18531,0
